timestamp,session_id,voucher_number,entry_type,amount,party_display,party_type,party_match_type,party_score,bank_desc,bank_code,bank_level,bank_match_type,bank_score,bank_text,category_desc,category_code,category_level,category_match_type,category_score,trans_date,cheque_no,user_message
2026-09-04T23:21:10.605584,session_1788545720616_xbt21wjqc,CRV-261203000166,CRV,550.0,3s(ali),C,code,1.0,Banks/Bank of Amercia 9523,100045001,sub,code,1.0,,Services/Infotax Service,3000100010002,individual,code,1.0,2026-09-04,,Paid $550 to Handy Fix LLC for Repair and Maintenance from Bank of Amercia 9523
2026-09-07T21:19:07.270401,session_1788789280961_57gipq7se,CRV-261203000167,CRV,8750.0,3S,C,code,1.0,Banks/Meezan 1234,100045000,sub,code,1.0,,REVENUE/Healthcare Services,35002,main,code,1.0,2026-06-07,,"Received $8,750 from Medicare for Healthcare Services into Bank of Amercia 9523 on 06/07/2026"
2026-09-08T22:52:28.180157,session_1788889686941_1u27yzwfi,CRV-261203000168,CRV,450.0,ABC Trading LLC,C,code,1.0,Banks/Bank of Amercia 9523,100045001,sub,code,1.0,,Services/Lock-In-Ledger Subscription,3000100010005,individual,code,1.0,2026-09-08,,Paid $450 to 3S for Healthcare services from Bank of Amercia 9523
2026-09-10T19:01:34.270486,session_1789048563657_5ub9ej58g,CRV-261203000169,CRV,1250.0,ABC Trading LLC,C,code,1.0,Credit Cards | Line of Credits/Chase Bank Line of Credit,2000100310007,individual,code,1.0,,Services/LLC Registration,3000100010010,individual,code,1.0,2026-09-10,392485032897529823,"Received $1,250 from ABC Trading for invoice 2045 into Chase Bank 4582"
2026-09-10T19:08:59.516793,session_1789048953325_nldmcui93,CRV-261203000170,CRV,1250.0,ABC Trading LLC,C,code,1.0,Credit Cards | Line of Credits/Chase Bank Line of Credit,2000100310007,individual,code,1.0,,Services/Annual Report LLC,3000100010006,individual,code,1.0,2026-09-10,1331324254,"Received $1,250 from ABC Trading for invoice 2045 into Chase Bank 4582"
2026-09-10T19:12:43.760234,session_1789049504744_wlngub827,CRV-261203000171,CRV,2000.0,ABC Trading LLC,C,code,1.0,Banks/Bank of Amercia 9523,100045001,sub,code,1.0,,Rental Income/Sales,3000100040001,individual,code,1.0,2026-09-10,1234567,"Received $2,000 from ABC Trading for sales into Bank of America 9523"
2026-09-10T19:21:54.167092,session_1789049960528_moxblk56q,CRV-261203000172,CRV,2050.0,Acme CORP,C,code,1.0,Banks/Bank of Amercia 9523,100045001,sub,code,1.0,,Rental Income/Sales,3000100040001,individual,code,1.0,2026-09-10,,"Received $2,000 from ABC Trading for sales into Bank of America 9523"
2026-09-10T19:30:22.899159,session_1789050572664_l2cfsjpck,CRV-261203000173,CRV,2050.0,Acme CORP,C,code,1.0,Banks/Bank of Amercia 9523,100045001,sub,code,1.0,,Rental Income/Sales,3000100040001,individual,code,1.0,2026-09-10,,"Received $2,000 from ABC Trading for sales into Bank of Amercia 9523"
2026-09-16T20:29:57.359490,session_1789571972644_x1cat6dip,CRV-261203000174,CRV,134.0,ABC Trading LLC,C,code,1.0,LIABILITIES/Chase Card 8704,25004,main,code,1.0,,Services/Infotax Service,3000100010002,individual,code,1.0,2025-08-26,,2025-08-26  AUTOMATIC PAYMENT - THANK YOU  134.00
2026-09-18T20:38:54.225216,session_1789739942207_3wj6t1d87,CRV-261203000175,CRV,1505.0,ABC Trading LLC,C,code,1.0,Banks/Meezan 1234,100045000,sub,code,1.0,,Services/Crpto Currency,3000100010001,individual,code,1.0,2026-09-18,,"Received $1,250 from ABC Trading for invoice 2045 into Chase Bank 4582"
